# HeaderRows_9
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; Pipe_Kit_02; Eureka Manta+ 35B real time clock.
# Temperature; degree_celsius; Pipe_Kit_02; Eureka Manta+ 35B with thermistor.
# Specific_Conductance; microsiemens_per_centimeter; Pipe_Kit_02; Eureka Manta+ 35B with graphite four-electrode sensor.
# Turbidity; formazin_nephalometric_units; Pipe_Kit_02; Eureka Manta+ 35B with ISO 7027 standard turbidity sensor with integrated wiper.
# pH; pH; Pipe_Kit_02; Eureka Manta+ 35B with glass pH sensor and reference electrode.
# Battery; volts; Pipe_Kit_02; Eureka Manta+ 35B internal battery pack.
"DateTime","Site_ID","Temperature","Specific_Conductance","Turbidity","pH","Battery"
" 2021-08-30 11:12:00","S14",14.02,30.3,-0.48,7.5,7.68
" 2021-08-30 11:13:00","S14",14.04,30.3,-0.35,7.48,7.66
" 2021-08-30 11:14:00","S14",14.05,30.3,-0.4,7.45,7.61
" 2021-08-30 11:15:00","S14",14.07,30.3,-0.38,7.44,7.63
" 2021-08-30 11:16:00","S14",14.09,30.3,-0.41,7.42,7.64
" 2021-08-30 11:17:00","S14",14.11,30.3,-0.48,7.42,7.73
" 2021-08-30 11:18:00","S14",14.13,30.3,-0.46,7.42,7.66
" 2021-08-30 11:19:00","S14",14.15,30.3,-0.2,7.43,7.66
" 2021-08-30 11:20:00","S14",14.16,30.3,-0.39,7.44,7.68
" 2021-08-30 11:21:00","S14",14.18,30.3,-0.43,7.45,7.69
" 2021-08-30 11:22:00","S14",14.2,30.3,-0.45,7.46,7.69
" 2021-08-30 11:23:00","S14",14.23,30.3,-0.38,7.47,7.69
" 2021-08-30 11:24:00","S14",14.24,30.3,-0.46,7.49,7.78
" 2021-08-30 11:25:00","S14",14.26,30.3,-0.45,7.5,7.73
" 2021-08-30 11:26:00","S14",14.28,30.3,-0.43,7.51,7.76
" 2021-08-30 11:27:00","S14",14.3,30.3,-0.31,7.52,7.71
" 2021-08-30 11:28:00","S14",14.31,30.3,-0.46,7.53,7.73
" 2021-08-30 11:29:00","S14",14.33,30.3,-0.35,7.54,7.76
" 2021-08-30 11:30:00","S14",14.35,30.3,-0.37,7.55,7.76
