# HeaderRows_8
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; Pipe_Kit_02; Eureka Manta+ 35B real time clock.
# Temperature; degree_celsius; Pipe_Kit_02; Eureka Manta+ 35B with thermistor.
# Specific_Conductance; microsiemens_per_centimeter; Pipe_Kit_02; Eureka Manta+ 35B with graphite four-electrode sensor.
# Turbidity; formazin_nephalometric_units; Pipe_Kit_02; Eureka Manta+ 35B with ISO 7027 standard turbidity sensor with integrated wiper.
# Battery; volts; Pipe_Kit_02; Eureka Manta+ 35B internal battery pack.
"DateTime","Site_ID","Temperature","Specific_Conductance","Turbidity","Battery"
" 2021-09-01 08:46:00","S38",13.41,167.3,2.5,7.89
" 2021-09-01 08:47:00","S38",13.42,167.2,0.77,7.89
" 2021-09-01 08:48:00","S38",13.42,167.3,0.55,7.91
" 2021-09-01 08:49:00","S38",13.41,166.9,0.23,7.94
" 2021-09-01 08:50:00","S38",13.43,166.6,0.87,7.94
" 2021-09-01 08:51:00","S38",13.45,166.6,1.24,7.88
" 2021-09-01 08:52:00","S38",13.47,166.7,1.27,7.93
" 2021-09-01 08:53:00","S38",13.47,166.8,0.11,7.93
" 2021-09-01 08:54:00","S38",13.47,166.8,0.46,7.94
" 2021-09-01 08:55:00","S38",13.48,166.9,0.49,7.93
" 2021-09-01 08:56:00","S38",13.48,166.9,0.36,7.94
" 2021-09-01 08:57:00","S38",13.46,166.5,0.3,7.93
" 2021-09-01 08:58:00","S38",13.48,166.8,0.54,7.86
" 2021-09-01 08:59:00","S38",13.48,167,0.38,7.86
" 2021-09-01 09:00:00","S38",13.48,167,0.12,7.89
" 2021-09-01 09:01:00","S38",13.48,166.8,0.43,7.93
" 2021-09-01 09:02:00","S38",13.49,166.4,0.31,7.93
" 2021-09-01 09:03:00","S38",13.49,166.3,0.26,7.89
" 2021-09-01 09:04:00","S38",13.47,166.4,0.43,7.91
" 2021-09-01 09:05:00","S38",13.48,166.9,0.2,7.86
" 2021-09-01 09:06:00","S38",13.49,166.1,0.34,7.93
" 2021-09-01 09:07:00","S38",13.5,166.2,0.24,7.86
" 2021-09-01 09:08:00","S38",13.51,166.3,0.5,7.88
" 2021-09-01 09:09:00","S38",13.52,166.2,1.64,7.84
" 2021-09-01 09:10:00","S38",13.53,166.1,0.19,7.93
" 2021-09-01 09:11:00","S38",13.54,165.9,0.17,7.88
" 2021-09-01 09:12:00","S38",13.53,165.5,0.16,7.84
" 2021-09-01 09:13:00","S38",13.52,165.7,0.1,7.89
" 2021-09-01 09:14:00","S38",13.51,166.1,0.03,7.86
" 2021-09-01 09:15:00","S38",13.52,165.9,0.25,7.83
" 2021-09-01 09:16:00","S38",13.54,165.9,0.17,7.89
" 2021-09-01 09:17:00","S38",13.55,165.8,0.21,7.84
" 2021-09-01 09:18:00","S38",13.56,165.7,0.16,7.86
" 2021-09-01 09:19:00","S38",13.57,165.8,0.27,7.86
" 2021-09-01 09:20:00","S38",13.57,165.4,0.36,7.88
" 2021-09-01 09:21:00","S38",13.59,165.8,0.48,7.88
