# HeaderRows_9
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; Pipe_Kit_02; Eureka Manta+ 35B real time clock.
# Temperature; degree_celsius; Pipe_Kit_02; Eureka Manta+ 35B with thermistor.
# Specific_Conductance; microsiemens_per_centimeter; Pipe_Kit_02; Eureka Manta+ 35B with graphite four-electrode sensor.
# Turbidity; formazin_nephalometric_units; Pipe_Kit_02; Eureka Manta+ 35B with ISO 7027 standard turbidity sensor with integrated wiper.
# pH; pH; Pipe_Kit_02; Eureka Manta+ 35B with glass pH sensor and reference electrode.
# Battery; volts; Pipe_Kit_02; Eureka Manta+ 35B internal battery pack.
"DateTime","Site_ID","Temperature","Specific_Conductance","Turbidity","pH","Battery"
" 2021-09-03 08:12:00","S72",15.28,0,3.47,-1.17,8.09
" 2021-09-03 08:13:00","S72",15.24,0,3.25,-1,8.04
" 2021-09-03 08:14:00","S72",15.2,0,3.12,-0.91,8.11
" 2021-09-03 08:15:00","S72",15.18,0,3.92,-0.7,8.13
" 2021-09-03 08:16:00","S72",15.15,0,2.7,-0.42,8.08
" 2021-09-03 08:17:00","S72",15.11,0,2.69,-0.19,8.01
" 2021-09-03 08:18:00","S72",15.08,0,3.01,-0.06,8.08
" 2021-09-03 08:19:00","S72",15.05,0,2.43,0.1,8.08
" 2021-09-03 08:20:00","S72",15.01,0,2.5,0.17,8.08
" 2021-09-03 08:21:00","S72",14.97,0,3.44,0.16,8.08
" 2021-09-03 08:22:00","S72",14.94,0,2.43,0.15,8.04
" 2021-09-03 08:23:00","S72",14.91,0,2.35,0,8.08
" 2021-09-03 08:24:00","S72",14.88,0,2.34,-0.05,8.08
" 2021-09-03 08:25:00","S72",14.85,0,2.64,-0.03,8.09
" 2021-09-03 08:26:00","S72",14.82,0,2.84,0.04,8.01
" 2021-09-03 08:27:00","S72",14.78,0,2.6,0.07,8.01
" 2021-09-03 08:28:00","S72",14.74,0,2.82,0.36,8.06
" 2021-09-03 08:29:00","S72",14.7,0,3.4,0.48,8.08
" 2021-09-03 08:30:00","S72",14.66,0,2.43,0.55,8.04
" 2021-09-03 08:31:00","S72",14.64,0,2.79,0.64,8.08
" 2021-09-03 08:32:00","S72",14.61,0,3.07,0.74,8.01
" 2021-09-03 08:33:00","S72",14.58,0,2.6,0.98,8.03
" 2021-09-03 08:34:00","S72",14.56,0,2.82,1.03,8.06
" 2021-09-03 08:35:00","S72",14.54,0,2.61,1.57,8.08
" 2021-09-03 08:36:00","S72",14.52,0,2.29,1.82,8.06
" 2021-09-03 08:37:00","S72",14.5,0,3.03,1.97,8.04
" 2021-09-03 08:38:00","S72",14.49,0,2.16,2.01,8.09
" 2021-09-03 08:39:00","S72",14.48,0,2.9,1.92,8.09
" 2021-09-03 08:40:00","S72",14.47,0,2.37,1.97,7.96
" 2021-09-03 08:41:00","S72",14.45,0,2.62,2.02,8.09
" 2021-09-03 08:42:00","S72",14.45,0,2.41,1.96,8.03
" 2021-09-03 08:43:00","S72",14.44,0,3.57,1.89,8.08
" 2021-09-03 08:44:00","S72",14.44,0,2.85,2.02,8.06
" 2021-09-03 08:45:00","S72",14.42,0,3.64,2.01,8.04
" 2021-09-03 08:46:00","S72",14.42,0,2.81,2.01,8.08
" 2021-09-03 08:47:00","S72",14.42,0,2.85,2.01,8.09
" 2021-09-03 08:48:00","S72",14.42,0,2.86,2.01,8.01
" 2021-09-03 08:49:00","S72",14.42,0,2.91,1.93,8.03
" 2021-09-03 08:50:00","S72",14.42,0,2.54,1.68,8.08
" 2021-09-03 08:51:00","S72",14.43,0,2.7,2.47,8.03
" 2021-09-03 08:52:00","S72",14.43,0,2.66,2.82,8.06
" 2021-09-03 08:53:00","S72",14.44,0,2.42,2.72,7.99
" 2021-09-03 08:54:00","S72",14.44,0,2.68,2.6,8.01
" 2021-09-03 08:55:00","S72",14.45,0,2.84,2.24,8.04
" 2021-09-03 08:56:00","S72",14.45,0,2.71,2.13,8.01
" 2021-09-03 08:57:00","S72",14.45,0,2.49,2.23,7.99
" 2021-09-03 08:58:00","S72",14.46,0,2.55,2.5,7.99
" 2021-09-03 08:59:00","S72",14.46,0,3.2,2.63,8.03
" 2021-09-03 09:00:00","S72",14.46,0,3.77,2.78,8.03
" 2021-09-03 09:01:00","S72",14.46,0,3.05,2.8,8.04
" 2021-09-03 09:02:00","S72",14.47,0,3.42,2.85,8.04
" 2021-09-03 09:03:00","S72",14.47,0,2.61,2.86,8.01
