# HeaderRows_8
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; ManualChamberDark_01; PME MiniDOT Logger real time clock.
# Battery; volts; ManualChamberDark_01; PME MiniDOT Logger internal batteries.
# Temperature; degree_celsius; ManualChamberDark_01; PME MiniDOT Logger with temperature sensor.
# Dissolved_Oxygen; milligrams_per_liter; ManualChamberDark_01; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_Saturation; percent_saturation; ManualChamberDark_01; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
"DateTime","Site_ID","Minidot_SN","Battery","Temperature","Dissolved_Oxygen","Dissolved_Oxygen_Saturation"
" 2021-09-01 08:52:00","S15",299254,3.52,9.15,10.217,88.7
" 2021-09-01 08:53:00","S15",299254,3.52,9.14,10.216,88.67
" 2021-09-01 08:54:00","S15",299254,3.52,9.1,10.239,88.79
" 2021-09-01 08:55:00","S15",299254,3.52,9.11,10.231,88.74
" 2021-09-01 08:56:00","S15",299254,3.52,9.1,10.235,88.75
" 2021-09-01 08:57:00","S15",299254,3.52,9.08,10.246,88.81
" 2021-09-01 08:58:00","S15",299254,3.52,9.07,10.253,88.85
" 2021-09-01 08:59:00","S15",299254,3.52,9.09,10.251,88.87
" 2021-09-01 09:00:00","S15",299254,3.52,9.07,10.262,88.93
" 2021-09-01 09:01:00","S15",299254,3.52,9.09,10.245,88.82
" 2021-09-01 09:02:00","S15",299254,3.52,9.11,10.25,88.9
" 2021-09-01 09:03:00","S15",299254,3.52,9.08,10.263,88.96
" 2021-09-01 09:04:00","S15",299254,3.52,9.08,10.257,88.91
" 2021-09-01 09:05:00","S15",299254,3.52,9.1,10.252,88.9
" 2021-09-01 09:06:00","S15",299254,3.52,9.09,10.259,88.94
" 2021-09-01 09:07:00","S15",299254,3.52,9.1,10.254,88.92
" 2021-09-01 09:08:00","S15",299254,3.52,9.09,10.262,88.97
" 2021-09-01 09:09:00","S15",299254,3.52,9.11,10.256,88.96
" 2021-09-01 09:10:00","S15",299254,3.52,9.11,10.262,89.01
" 2021-09-01 09:11:00","S15",299254,3.52,9.14,10.254,89
" 2021-09-01 09:12:00","S15",299254,3.52,9.11,10.258,88.97
" 2021-09-01 09:13:00","S15",299254,3.52,9.13,10.254,88.98
" 2021-09-01 09:14:00","S15",299254,3.52,9.12,10.26,89.01
" 2021-09-01 09:15:00","S15",299254,3.52,9.12,10.258,88.99
" 2021-09-01 09:16:00","S15",299254,3.52,9.11,10.265,89.03
" 2021-09-01 09:17:00","S15",299254,3.52,9.12,10.269,89.09
" 2021-09-01 09:18:00","S15",299254,3.52,9.12,10.27,89.1
" 2021-09-01 09:19:00","S15",299254,3.52,9.13,10.259,89.02
" 2021-09-01 09:20:00","S15",299254,3.52,9.14,10.266,89.1
" 2021-09-01 09:21:00","S15",299254,3.52,9.14,10.263,89.08
" 2021-09-01 09:22:00","S15",299254,3.52,9.13,10.264,89.07
" 2021-09-01 09:23:00","S15",299254,3.52,9.12,10.264,89.05
" 2021-09-01 09:24:00","S15",299254,3.52,9.13,10.264,89.07
" 2021-09-01 09:25:00","S15",299254,3.52,9.14,10.262,89.07
" 2021-09-01 09:26:00","S15",299254,3.52,9.13,10.277,89.18
" 2021-09-01 09:27:00","S15",299254,3.52,9.14,10.272,89.15
" 2021-09-01 09:28:00","S15",299254,3.52,9.16,10.263,89.12
" 2021-09-01 09:29:00","S15",299254,3.52,9.17,10.275,89.24
" 2021-09-01 09:30:00","S15",299254,3.52,9.18,10.263,89.16
" 2021-09-01 09:31:00","S15",299254,3.52,9.18,10.273,89.24
" 2021-09-01 09:32:00","S15",299254,3.52,9.17,10.273,89.22
" 2021-09-01 09:33:00","S15",299254,3.51,9.18,10.275,89.26
