# HeaderRows_8
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; ManualChamberDark_01; PME MiniDOT Logger real time clock.
# Battery; volts; ManualChamberDark_01; PME MiniDOT Logger internal batteries.
# Temperature; degree_celsius; ManualChamberDark_01; PME MiniDOT Logger with temperature sensor.
# Dissolved_Oxygen; milligrams_per_liter; ManualChamberDark_01; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_Saturation; percent_saturation; ManualChamberDark_01; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
"DateTime","Site_ID","Minidot_SN","Battery","Temperature","Dissolved_Oxygen","Dissolved_Oxygen_Saturation"
" 2021-09-02 08:02:00","S21R",389834,3.51,13.57,8.8,84.58
" 2021-09-02 08:03:00","S21R",389834,3.51,13.56,8.806,84.62
" 2021-09-02 08:04:00","S21R",389834,3.51,13.58,8.794,84.54
" 2021-09-02 08:05:00","S21R",389834,3.51,13.58,8.799,84.59
" 2021-09-02 08:06:00","S21R",389834,3.51,13.61,8.789,84.56
" 2021-09-02 08:07:00","S21R",389834,3.51,13.6,8.795,84.6
" 2021-09-02 08:08:00","S21R",389834,3.51,13.6,8.795,84.58
" 2021-09-02 08:09:00","S21R",389834,3.51,13.6,8.79,84.55
" 2021-09-02 08:10:00","S21R",389834,3.51,13.6,8.795,84.6
" 2021-09-02 08:11:00","S21R",389834,3.51,13.6,8.797,84.62
" 2021-09-02 08:12:00","S21R",389834,3.51,13.61,8.797,84.63
" 2021-09-02 08:13:00","S21R",389834,3.51,13.61,8.799,84.65
" 2021-09-02 08:14:00","S21R",389834,3.51,13.6,8.799,84.62
" 2021-09-02 08:15:00","S21R",389834,3.51,13.65,8.795,84.68
" 2021-09-02 08:16:00","S21R",389834,3.51,13.61,8.792,84.58
" 2021-09-02 08:17:00","S21R",389834,3.51,13.63,8.789,84.59
" 2021-09-02 08:18:00","S21R",389834,3.51,13.63,8.793,84.63
" 2021-09-02 08:19:00","S21R",389834,3.51,13.63,8.801,84.71
" 2021-09-02 08:20:00","S21R",389834,3.51,13.64,8.794,84.65
" 2021-09-02 08:21:00","S21R",389834,3.51,13.62,8.805,84.73
" 2021-09-02 08:22:00","S21R",389834,3.51,13.64,8.796,84.67
" 2021-09-02 08:23:00","S21R",389834,3.51,13.64,8.792,84.64
" 2021-09-02 08:24:00","S21R",389834,3.51,13.65,8.798,84.71
" 2021-09-02 08:25:00","S21R",389834,3.51,13.64,8.802,84.73
" 2021-09-02 08:26:00","S21R",389834,3.51,13.66,8.796,84.72
" 2021-09-02 08:27:00","S21R",389834,3.51,13.66,8.803,84.77
" 2021-09-02 08:28:00","S21R",389834,3.51,13.66,8.799,84.75
" 2021-09-02 08:29:00","S21R",389834,3.51,13.66,8.804,84.78
