# HeaderRows_8
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; ManualChamberDark_01; PME MiniDOT Logger real time clock.
# Battery; volts; ManualChamberDark_01; PME MiniDOT Logger internal batteries.
# Temperature; degree_celsius; ManualChamberDark_01; PME MiniDOT Logger with temperature sensor.
# Dissolved_Oxygen; milligrams_per_liter; ManualChamberDark_01; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_Saturation; percent_saturation; ManualChamberDark_01; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
"DateTime","Site_ID","Minidot_SN","Battery","Temperature","Dissolved_Oxygen","Dissolved_Oxygen_Saturation"
" 2021-08-30 12:25:00","S25",255981,3.5,16.42,8.497,86.85
" 2021-08-30 12:26:00","S25",255981,3.5,16.42,8.491,86.8
" 2021-08-30 12:27:00","S25",255981,3.5,16.42,8.497,86.85
" 2021-08-30 12:28:00","S25",255981,3.5,16.43,8.497,86.88
" 2021-08-30 12:29:00","S25",255981,3.5,16.4,8.507,86.92
" 2021-08-30 12:30:00","S25",255981,3.5,16.42,8.501,86.9
" 2021-08-30 12:31:00","S25",255981,3.5,16.42,8.51,86.99
" 2021-08-30 12:32:00","S25",255981,3.5,16.42,8.494,86.83
" 2021-08-30 12:33:00","S25",255981,3.5,16.41,8.506,86.92
" 2021-08-30 12:34:00","S25",255981,3.5,16.42,8.494,86.82
" 2021-08-30 12:35:00","S25",255981,3.5,16.44,8.485,86.77
" 2021-08-30 12:36:00","S25",255981,3.5,16.42,8.501,86.89
" 2021-08-30 12:37:00","S25",255981,3.5,16.42,8.501,86.89
" 2021-08-30 12:38:00","S25",255981,3.5,16.43,8.497,86.88
" 2021-08-30 12:39:00","S25",255981,3.5,16.43,8.502,86.93
" 2021-08-30 12:40:00","S25",255981,3.5,16.43,8.494,86.85
" 2021-08-30 12:41:00","S25",255981,3.5,16.43,8.501,86.92
" 2021-08-30 12:42:00","S25",255981,3.5,16.44,8.51,87.03
" 2021-08-30 12:43:00","S25",255981,3.5,16.45,8.502,86.96
" 2021-08-30 12:44:00","S25",255981,3.5,16.45,8.506,87
" 2021-08-30 12:45:00","S25",255981,3.5,16.47,8.496,86.93
" 2021-08-30 12:46:00","S25",255981,3.5,16.48,8.49,86.88
" 2021-08-30 12:47:00","S25",255981,3.5,16.48,8.493,86.91
" 2021-08-30 12:48:00","S25",255981,3.5,16.48,8.498,86.96
" 2021-08-30 12:49:00","S25",255981,3.5,16.48,8.489,86.89
