# HeaderRows_8
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; ManualChamberDark_01; PME MiniDOT Logger real time clock.
# Battery; volts; ManualChamberDark_01; PME MiniDOT Logger internal batteries.
# Temperature; degree_celsius; ManualChamberDark_01; PME MiniDOT Logger with temperature sensor.
# Dissolved_Oxygen; milligrams_per_liter; ManualChamberDark_01; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_Saturation; percent_saturation; ManualChamberDark_01; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
"DateTime","Site_ID","Minidot_SN","Battery","Temperature","Dissolved_Oxygen","Dissolved_Oxygen_Saturation"
" 2021-09-01 11:43:00","S28RE",412314,3.5,16.24,9.311,94.81
" 2021-09-01 11:44:00","S28RE",412314,3.5,16.24,9.309,94.79
" 2021-09-01 11:45:00","S28RE",412314,3.5,16.25,9.3,94.72
" 2021-09-01 11:46:00","S28RE",412314,3.5,16.26,9.301,94.76
" 2021-09-01 11:47:00","S28RE",412314,3.5,16.29,9.293,94.73
" 2021-09-01 11:48:00","S28RE",412314,3.5,16.29,9.296,94.76
" 2021-09-01 11:49:00","S28RE",412314,3.5,16.28,9.288,94.66
" 2021-09-01 11:50:00","S28RE",412314,3.5,16.27,9.3,94.77
" 2021-09-01 11:51:00","S28RE",412314,3.5,16.31,9.28,94.63
" 2021-09-01 11:52:00","S28RE",412314,3.5,16.31,9.29,94.73
" 2021-09-01 11:53:00","S28RE",412314,3.5,16.29,9.298,94.78
" 2021-09-01 11:54:00","S28RE",412314,3.5,16.3,9.297,94.79
" 2021-09-01 11:55:00","S28RE",412314,3.5,16.3,9.287,94.68
" 2021-09-01 11:56:00","S28RE",412314,3.5,16.32,9.282,94.67
" 2021-09-01 11:57:00","S28RE",412314,3.5,16.32,9.28,94.65
" 2021-09-01 11:58:00","S28RE",412314,3.5,16.32,9.277,94.63
" 2021-09-01 11:59:00","S28RE",412314,3.5,16.33,9.281,94.69
" 2021-09-01 12:00:00","S28RE",412314,3.5,16.31,9.293,94.76
" 2021-09-01 12:01:00","S28RE",412314,3.5,16.32,9.282,94.69
" 2021-09-01 12:02:00","S28RE",412314,3.5,16.33,9.279,94.67
" 2021-09-01 12:03:00","S28RE",412314,3.5,16.35,9.285,94.77
" 2021-09-01 12:04:00","S28RE",412314,3.5,16.35,9.29,94.82
" 2021-09-01 12:05:00","S28RE",412314,3.5,16.33,9.289,94.77
" 2021-09-01 12:06:00","S28RE",412314,3.5,16.36,9.291,94.85
" 2021-09-01 12:07:00","S28RE",412314,3.5,16.37,9.272,94.67
" 2021-09-01 12:08:00","S28RE",412314,3.5,16.37,9.274,94.69
" 2021-09-01 12:09:00","S28RE",412314,3.5,16.37,9.281,94.76
" 2021-09-01 12:10:00","S28RE",412314,3.5,16.36,9.29,94.84
" 2021-09-01 12:11:00","S28RE",412314,3.5,16.38,9.282,94.79
" 2021-09-01 12:12:00","S28RE",412314,3.5,16.38,9.28,94.77
" 2021-09-01 12:13:00","S28RE",412314,3.5,16.41,9.267,94.7
" 2021-09-01 12:14:00","S28RE",412314,3.5,16.38,9.288,94.87
" 2021-09-01 12:15:00","S28RE",412314,3.5,16.41,9.286,94.9
" 2021-09-01 12:16:00","S28RE",412314,3.5,16.41,9.278,94.81
" 2021-09-01 12:17:00","S28RE",412314,3.5,16.41,9.286,94.9
" 2021-09-01 12:18:00","S28RE",412314,3.5,16.42,9.291,94.96
" 2021-09-01 12:19:00","S28RE",412314,3.5,16.44,9.266,94.76
" 2021-09-01 12:20:00","S28RE",412314,3.5,16.45,9.282,94.94
" 2021-09-01 12:21:00","S28RE",412314,3.5,16.43,9.284,94.93
" 2021-09-01 12:22:00","S28RE",412314,3.5,16.44,9.289,95
" 2021-09-01 12:23:00","S28RE",412314,3.5,16.46,9.287,95.01
" 2021-09-01 12:24:00","S28RE",412314,3.5,16.46,9.292,95.06
" 2021-09-01 12:25:00","S28RE",412314,3.5,16.48,9.287,95.04
" 2021-09-01 12:26:00","S28RE",412314,3.5,16.48,9.281,95
" 2021-09-01 12:27:00","S28RE",412314,3.5,16.49,9.276,94.96
" 2021-09-01 12:28:00","S28RE",412314,3.5,16.51,9.279,95.03
" 2021-09-01 12:29:00","S28RE",412314,3.49,16.5,9.28,95.02
" 2021-09-01 12:30:00","S28RE",412314,3.49,16.54,9.272,95.01
" 2021-09-01 12:31:00","S28RE",412314,3.49,16.53,9.277,95.04
" 2021-09-01 12:32:00","S28RE",412314,3.49,16.55,9.274,95.05
