# HeaderRows_8
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; ManualChamberDark_01; PME MiniDOT Logger real time clock.
# Battery; volts; ManualChamberDark_01; PME MiniDOT Logger internal batteries.
# Temperature; degree_celsius; ManualChamberDark_01; PME MiniDOT Logger with temperature sensor.
# Dissolved_Oxygen; milligrams_per_liter; ManualChamberDark_01; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_Saturation; percent_saturation; ManualChamberDark_01; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
"DateTime","Site_ID","Minidot_SN","Battery","Temperature","Dissolved_Oxygen","Dissolved_Oxygen_Saturation"
" 2021-08-31 09:11:00","S63",243111,3.46,11.22,10.407,94.87
" 2021-08-31 09:12:00","S63",243111,3.46,11.23,10.407,94.89
" 2021-08-31 09:13:00","S63",243111,3.46,11.24,10.404,94.88
" 2021-08-31 09:14:00","S63",243111,3.46,11.25,10.402,94.88
" 2021-08-31 09:15:00","S63",243111,3.46,11.28,10.39,94.83
" 2021-08-31 09:16:00","S63",243111,3.46,11.27,10.408,94.97
" 2021-08-31 09:17:00","S63",243111,3.46,11.29,10.387,94.82
" 2021-08-31 09:18:00","S63",243111,3.46,11.3,10.389,94.86
" 2021-08-31 09:19:00","S63",243111,3.46,11.3,10.396,94.94
" 2021-08-31 09:20:00","S63",243111,3.46,11.3,10.387,94.86
" 2021-08-31 09:21:00","S63",243111,3.46,11.3,10.403,95.01
" 2021-08-31 09:22:00","S63",243111,3.46,11.35,10.409,95.16
" 2021-08-31 09:23:00","S63",243111,3.46,11.36,10.425,95.33
" 2021-08-31 09:24:00","S63",243111,3.46,11.43,10.419,95.43
" 2021-08-31 09:25:00","S63",243111,3.46,11.45,10.403,95.32
" 2021-08-31 09:26:00","S63",243111,3.46,11.47,10.408,95.4
" 2021-08-31 09:27:00","S63",243111,3.46,11.52,10.405,95.5
" 2021-08-31 09:28:00","S63",243111,3.46,11.53,10.397,95.44
" 2021-08-31 09:29:00","S63",243111,3.46,11.53,10.406,95.52
" 2021-08-31 09:30:00","S63",243111,3.46,11.55,10.407,95.57
" 2021-08-31 09:31:00","S63",243111,3.46,11.59,10.402,95.63
" 2021-08-31 09:32:00","S63",243111,3.46,11.58,10.407,95.65
" 2021-08-31 09:33:00","S63",243111,3.46,11.61,10.398,95.63
" 2021-08-31 09:34:00","S63",243111,3.46,11.63,10.399,95.68
" 2021-08-31 09:35:00","S63",243111,3.46,11.65,10.399,95.72
" 2021-08-31 09:36:00","S63",243111,3.46,11.66,10.409,95.85
" 2021-08-31 09:37:00","S63",243111,3.46,11.65,10.405,95.79
" 2021-08-31 09:38:00","S63",243111,3.46,11.65,10.408,95.82
" 2021-08-31 09:39:00","S63",243111,3.46,11.7,10.388,95.73
" 2021-08-31 09:40:00","S63",243111,3.46,11.69,10.392,95.75
" 2021-08-31 09:41:00","S63",243111,3.46,11.7,10.398,95.82
" 2021-08-31 09:42:00","S63",243111,3.46,11.73,10.394,95.87
" 2021-08-31 09:43:00","S63",243111,3.46,11.75,10.391,95.88
" 2021-08-31 09:44:00","S63",243111,3.46,11.75,10.394,95.9
" 2021-08-31 09:45:00","S63",243111,3.46,11.76,10.385,95.84
" 2021-08-31 09:46:00","S63",243111,3.46,11.77,10.379,95.81
" 2021-08-31 09:47:00","S63",243111,3.46,11.79,10.387,95.92
" 2021-08-31 09:48:00","S63",243111,3.46,11.8,10.391,95.98
" 2021-08-31 09:49:00","S63",243111,3.46,11.81,10.399,96.07
" 2021-08-31 09:50:00","S63",243111,3.46,11.82,10.408,96.19
" 2021-08-31 09:51:00","S63",243111,3.46,11.87,10.406,96.27
" 2021-08-31 09:52:00","S63",243111,3.46,11.91,10.4,96.31
" 2021-08-31 09:53:00","S63",243111,3.46,11.92,10.404,96.37
" 2021-08-31 09:54:00","S63",243111,3.46,11.96,10.405,96.46
" 2021-08-31 09:55:00","S63",243111,3.46,11.98,10.409,96.55
" 2021-08-31 09:56:00","S63",243111,3.46,12.03,10.401,96.58
" 2021-08-31 09:57:00","S63",243111,3.46,12.03,10.401,96.58
" 2021-08-31 09:58:00","S63",243111,3.46,12.06,10.391,96.56
" 2021-08-31 09:59:00","S63",243111,3.46,12.08,10.399,96.68
" 2021-08-31 10:00:00","S63",243111,3.45,12.1,10.392,96.65
" 2021-08-31 10:01:00","S63",243111,3.46,12.11,10.403,96.77
" 2021-08-31 10:02:00","S63",243111,3.45,12.14,10.395,96.77
" 2021-08-31 10:03:00","S63",243111,3.45,12.14,10.397,96.79
" 2021-08-31 10:04:00","S63",243111,3.45,12.16,10.394,96.8
" 2021-08-31 10:05:00","S63",243111,3.45,12.19,10.383,96.76
" 2021-08-31 10:06:00","S63",243111,3.45,12.19,10.389,96.82
" 2021-08-31 10:07:00","S63",243111,3.45,12.22,10.389,96.87
" 2021-08-31 10:08:00","S63",243111,3.45,12.24,10.374,96.79
" 2021-08-31 10:09:00","S63",243111,3.45,12.23,10.386,96.89
" 2021-08-31 10:10:00","S63",243111,3.45,12.26,10.398,97.06
" 2021-08-31 10:11:00","S63",243111,3.45,12.29,10.398,97.11
" 2021-08-31 10:12:00","S63",243111,3.45,12.3,10.423,97.39
" 2021-08-31 10:13:00","S63",243111,3.46,12.37,10.4,97.31
" 2021-08-31 10:14:00","S63",243111,3.46,12.38,10.397,97.3
" 2021-08-31 10:15:00","S63",243111,3.46,12.42,10.399,97.42
" 2021-08-31 10:16:00","S63",243111,3.46,12.43,10.381,97.27
" 2021-08-31 10:17:00","S63",243111,3.46,12.46,10.391,97.42
" 2021-08-31 10:18:00","S63",243111,3.46,12.5,10.397,97.57
" 2021-08-31 10:19:00","S63",243111,3.46,12.51,10.39,97.53
" 2021-08-31 10:20:00","S63",243111,3.46,12.5,10.4,97.6
" 2021-08-31 10:21:00","S63",243111,3.46,12.54,10.39,97.6
" 2021-08-31 10:22:00","S63",243111,3.46,12.58,10.378,97.57
" 2021-08-31 10:23:00","S63",243111,3.46,12.58,10.384,97.63
" 2021-08-31 10:24:00","S63",243111,3.46,12.62,10.388,97.74
" 2021-08-31 10:25:00","S63",243111,3.46,12.62,10.386,97.72
" 2021-08-31 10:26:00","S63",243111,3.46,12.65,10.372,97.67
" 2021-08-31 10:27:00","S63",243111,3.46,12.66,10.372,97.69
" 2021-08-31 10:28:00","S63",243111,3.46,12.65,10.385,97.79
" 2021-08-31 10:29:00","S63",243111,3.46,12.66,10.384,97.8
" 2021-08-31 10:30:00","S63",243111,3.46,12.69,10.371,97.75
" 2021-08-31 10:31:00","S63",243111,3.46,12.69,10.371,97.75
" 2021-08-31 10:32:00","S63",243111,3.46,12.68,10.392,97.92
" 2021-08-31 10:33:00","S63",243111,3.46,12.71,10.373,97.81
" 2021-08-31 10:34:00","S63",243111,3.46,12.71,10.387,97.95
" 2021-08-31 10:35:00","S63",243111,3.46,12.75,10.383,97.98
" 2021-08-31 10:36:00","S63",243111,3.46,12.79,10.383,98.08
" 2021-08-31 10:37:00","S63",243111,3.46,12.84,10.394,98.28
" 2021-08-31 10:38:00","S63",243111,3.46,12.88,10.388,98.32
" 2021-08-31 10:39:00","S63",243111,3.46,12.91,10.392,98.44
" 2021-08-31 10:40:00","S63",243111,3.46,12.94,10.381,98.39
" 2021-08-31 10:41:00","S63",243111,3.46,12.97,10.392,98.56
" 2021-08-31 10:42:00","S63",243111,3.46,13,10.389,98.61
" 2021-08-31 10:43:00","S63",243111,3.46,13.04,10.38,98.6
" 2021-08-31 10:44:00","S63",243111,3.46,13.06,10.38,98.65
" 2021-08-31 10:45:00","S63",243111,3.45,13.09,10.378,98.69
" 2021-08-31 10:46:00","S63",243111,3.45,13.12,10.378,98.75
" 2021-08-31 10:47:00","S63",243111,3.45,13.15,10.36,98.66
" 2021-08-31 10:48:00","S63",243111,3.45,13.13,10.38,98.81
" 2021-08-31 10:49:00","S63",243111,3.45,13.15,10.391,98.95
" 2021-08-31 10:50:00","S63",243111,3.45,13.21,10.355,98.75
" 2021-08-31 10:51:00","S63",243111,3.45,13.2,10.377,98.92
" 2021-08-31 10:52:00","S63",243111,3.45,13.21,10.376,98.95
" 2021-08-31 10:53:00","S63",243111,3.45,13.21,10.386,99.04
" 2021-08-31 10:54:00","S63",243111,3.45,13.28,10.366,99.01
" 2021-08-31 10:55:00","S63",243111,3.45,13.28,10.347,98.82
" 2021-08-31 10:56:00","S63",243111,3.45,13.28,10.372,99.04
" 2021-08-31 10:57:00","S63",243111,3.45,13.3,10.362,99
" 2021-08-31 10:58:00","S63",243111,3.45,13.32,10.355,98.98
" 2021-08-31 10:59:00","S63",243111,3.45,13.32,10.369,99.11
" 2021-08-31 11:00:00","S63",243111,3.45,13.35,10.353,99.03
" 2021-08-31 11:01:00","S63",243111,3.45,13.35,10.358,99.06
