Site_ID,Latitude,Longitude,IGSN,Description,Physiographic_Feature_Name,COMID,RawCOMID_Used,Country,Methods_and_Flags,Submission_Contact_Name,Submission_Contact_Email
BLU-BLU,44.1623,-122.332,10.58052/IEWDR00WM,stream,Blue River,23773405,TRUE,United States,COMID_01,James Stegen,james.stegen@pnnl.gov
BLU-TID,44.2179,-122.265,10.58052/IEWDR00WN,stream,Blue River below Tidbits Creek,23773429,TRUE,United States,COMID_02,James Stegen,james.stegen@pnnl.gov
BOU1,45.6449,-73.4774,10.58052/IEWDR01BX,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
BOU2,45.6462,-73.4637,10.58052/IEWDR01BW,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
BOU3,45.645,-73.4529,10.58052/IEWDR01BV,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
BOU4,45.5685,-73.5079,10.58052/IEWDR01BO,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
BR08,44.6006,-75.6606,10.58052/IEWDR01AQ,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
BR09,44.63438,-75.61223,10.58052/IEWDR01AO,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
BR11,44.79,-75.3714,10.58052/IEWDR01AX,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
BR12,44.8463,-75.2996,10.58052/IEWDR01AZ,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
BRO-LAP,43.7236,-121.796,10.58052/IEWDR00WO,stream,Brown Creek,23700569,TRUE,United States,COMID_02,James Stegen,james.stegen@pnnl.gov
C10,46.649199,-121.300698,10.58052/IEPRS00UK,stream,Clear Creek,24423347,TRUE,United States,COMID_00,Allison Myers-Pigg,allison.myers-pigg@pnnl.gov
C11,46.654386,-121.319166,10.58052/IEPRS00UL,stream,Clear Creek,24423347,TRUE,United States,COMID_00,Allison Myers-Pigg,allison.myers-pigg@pnnl.gov
C20,46.648074,-121.297724,10.58052/IEPRS00UM,stream,Clear Creek,24423347,TRUE,United States,COMID_00,Allison Myers-Pigg,allison.myers-pigg@pnnl.gov
C21,46.6399,-121.2901,10.58052/IEPRS00TV,stream,Clear Creek,24423347,TRUE,United States,COMID_00,Allison Myers-Pigg,allison.myers-pigg@pnnl.gov
CAC1,47.99,-69.72,10.58052/IEWDR01D5,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
CON1,45.8594,-73.2928,10.58052/IEWDR01C8,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
CON1.5,45.8432,-73.3113,10.58052/IEWDR01C4,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
CON2,45.8561,-73.278,10.58052/IEWDR01C3,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
CON3,45.8494,-73.2715,10.58052/IEWDR01C2,stream,St. Lawrence River,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov
Ct20,46.648153,-121.297706,10.58052/IEPRS00UN,stream,Clear Creek Tributary,-9999,N/A,United States,COMID_07; RawCOMID_24423347; Flag_00,Allison Myers-Pigg,allison.myers-pigg@pnnl.gov
