# HeaderRows_7
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; Pipe_Kit_02; Eureka Manta+ 35B real time clock.
# Temperature; degree_celsius; Pipe_Kit_02; Eureka Manta+ 35B with thermistor.
# Specific_Conductance; microsiemens_per_centimeter; Pipe_Kit_02; Eureka Manta+ 35B with graphite four-electrode sensor.
# Battery; volts; Pipe_Kit_02; Eureka Manta+ 35B internal battery pack.
DateTime,Site_ID,Temperature,Specific_Conductance,Battery
 2021-08-30 08:07:00,S50,17.22,96.4,9.23
 2021-08-30 08:08:00,S50,17.24,96.4,9.18
 2021-08-30 08:09:00,S50,17.23,96.4,9.23
 2021-08-30 08:10:00,S50,17.23,96.5,9.19
 2021-08-30 08:11:00,S50,17.22,96.5,9.21
 2021-08-30 08:12:00,S50,17.24,96.4,9.21
 2021-08-30 08:13:00,S50,17.24,96.4,9.19
 2021-08-30 08:14:00,S50,17.23,96.4,9.18
 2021-08-30 08:15:00,S50,17.23,96.4,9.19
 2021-08-30 08:16:00,S50,17.24,96.4,9.21
 2021-08-30 08:17:00,S50,17.24,96.4,9.24
 2021-08-30 08:18:00,S50,17.24,96.4,9.18
 2021-08-30 08:19:00,S50,17.26,96.4,9.23
 2021-08-30 08:20:00,S50,17.25,96.4,9.16
 2021-08-30 08:21:00,S50,17.26,96.4,9.18
 2021-08-30 08:22:00,S50,17.25,96.4,9.23
 2021-08-30 08:23:00,S50,17.26,96.4,9.18
 2021-08-30 08:24:00,S50,17.26,96.4,9.18
 2021-08-30 08:25:00,S50,17.26,96.6,9.16
 2021-08-30 08:26:00,S50,17.26,96.5,9.16
 2021-08-30 08:27:00,S50,17.27,96.4,9.14
 2021-08-30 08:28:00,S50,17.27,96.4,9.16
 2021-08-30 08:29:00,S50,17.28,96.4,9.21
 2021-08-30 08:30:00,S50,17.28,96.4,9.21
 2021-08-30 08:31:00,S50,17.27,96.4,9.16
 2021-08-30 08:32:00,S50,17.28,96.4,9.19
 2021-08-30 08:33:00,S50,17.27,96.4,9.18
 2021-08-30 08:34:00,S50,17.28,96.4,9.18
 2021-08-30 08:35:00,S50,17.29,96.4,9.14
 2021-08-30 08:36:00,S50,17.29,96.4,9.14
 2021-08-30 08:37:00,S50,17.3,96.4,9.19
 2021-08-30 08:38:00,S50,17.3,96.4,9.18
 2021-08-30 08:39:00,S50,17.32,96.4,9.19
 2021-08-30 08:40:00,S50,17.3,96.4,9.19
 2021-08-30 08:41:00,S50,17.32,96.4,9.19
 2021-08-30 08:42:00,S50,17.32,96.4,9.13
 2021-08-30 08:43:00,S50,17.32,96.4,9.18
 2021-08-30 08:44:00,S50,17.32,96.4,9.16
 2021-08-30 08:45:00,S50,17.32,96.4,9.18
 2021-08-30 08:46:00,S50,17.33,96.4,9.13
 2021-08-30 08:47:00,S50,17.34,96.4,9.18
 2021-08-30 08:48:00,S50,17.34,96.4,9.08
