# HeaderRows_16
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; ManualChamberDark_01; PME MiniDOT Logger real time clock.
# Battery_1; volts; ManualChamberDark_01; PME MiniDOT Logger internal batteries.
# Battery_2; volts; ManualChamberDark_01; PME MiniDOT Logger internal batteries.
# Battery_3; volts; ManualChamberDark_01; PME MiniDOT Logger internal batteries.
# Temperature_1; degree_celsius; ManualChamberDark_01; PME MiniDOT Logger with temperature sensor.
# Temperature_2; degree_celsius; ManualChamberDark_01; PME MiniDOT Logger with temperature sensor.
# Temperature_3; degree_celsius; ManualChamberDark_01; PME MiniDOT Logger with temperature sensor.
# Dissolved_Oxygen_1; milligrams_per_liter; ManualChamberDark_01; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_2; milligrams_per_liter; ManualChamberDark_01; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_3; milligrams_per_liter; ManualChamberDark_01; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_Saturation_1; percent_saturation; ManualChamberDark_01; Calculated using Garcia & Gordon (1992) equation with miniDOT dissolved oxygen and barotroll barometric pressure.
# Dissolved_Oxygen_Saturation_2; percent_saturation; ManualChamberDark_01; Calculated using Garcia & Gordon (1992) equation with miniDOT dissolved oxygen and barotroll barometric pressure.
# Dissolved_Oxygen_Saturation_3; percent_saturation; ManualChamberDark_01; Calculated using Garcia & Gordon (1992) equation with miniDOT dissolved oxygen and barotroll barometric pressure.
DateTime,Site_ID,Battery_1,Battery_2,Battery_3,Temperature_1,Temperature_2,Temperature_3,Dissolved_Oxygen_1,Dissolved_Oxygen_2,Dissolved_Oxygen_3,Dissolved_Oxygen_Saturation_1,Dissolved_Oxygen_Saturation_2,Dissolved_Oxygen_Saturation_3
 2021-08-30 11:28:00,S14,3.51,3.52,3.51,14.205,14.229,14.217,9.063,8.972,9.378,97.311,96.384,100.719
 2021-08-30 11:29:00,S14,3.51,3.52,3.51,14.205,14.211,14.234,9.067,8.973,9.376,97.342,96.346,100.724
 2021-08-30 11:30:00,S14,3.51,3.52,3.51,14.187,14.255,14.226,9.075,8.957,9.371,97.354,96.232,100.616
 2021-08-30 11:31:00,S14,3.51,3.52,3.51,14.222,14.246,14.243,9.062,8.965,9.378,97.139,96.15,100.572
 2021-08-30 11:32:00,S14,3.51,3.52,3.51,14.239,14.246,14.26,9.052,8.961,9.364,97.034,96.073,100.425
 2021-08-30 11:33:00,S14,3.51,3.52,3.51,14.231,14.246,14.252,9.055,8.961,9.377,97.028,96.052,100.525
 2021-08-30 11:34:00,S14,3.51,3.52,3.51,14.257,14.229,14.26,9.063,8.97,9.365,97.24,96.183,100.487
 2021-08-30 11:35:00,S14,3.51,3.52,3.51,14.248,14.237,14.26,9.06,8.977,9.373,97.179,96.265,100.563
 2021-08-30 11:36:00,S14,3.51,3.52,3.51,14.248,14.272,14.269,9.066,8.961,9.376,97.252,96.176,100.623
 2021-08-30 11:37:00,S14,3.51,3.52,3.51,14.265,14.263,14.295,9.058,8.968,9.365,97.199,96.229,100.559
 2021-08-30 11:38:00,S14,3.51,3.52,3.51,14.283,14.272,14.278,9.054,8.964,9.38,97.221,96.232,100.711
 2021-08-30 11:39:00,S14,3.51,3.52,3.51,14.274,14.298,14.312,9.062,8.968,9.371,97.249,96.291,100.649
 2021-08-30 11:40:00,S14,3.51,3.52,3.51,14.309,14.307,14.321,9.055,8.97,9.37,97.27,96.353,100.68
 2021-08-30 11:41:00,S14,3.51,3.52,3.51,14.326,14.289,14.321,9.05,8.984,9.384,97.261,96.474,100.84
 2021-08-30 11:42:00,S14,3.51,3.52,3.51,14.317,14.341,14.338,9.062,8.954,9.371,97.335,96.225,100.7
