# HeaderRows_16
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; ManualChamberDark_01; PME MiniDOT Logger real time clock.
# Battery_1; volts; ManualChamberDark_01; PME MiniDOT Logger internal batteries.
# Battery_2; volts; ManualChamberDark_01; PME MiniDOT Logger internal batteries.
# Battery_3; volts; ManualChamberDark_01; PME MiniDOT Logger internal batteries.
# Temperature_1; degree_celsius; ManualChamberDark_01; PME MiniDOT Logger with temperature sensor.
# Temperature_2; degree_celsius; ManualChamberDark_01; PME MiniDOT Logger with temperature sensor.
# Temperature_3; degree_celsius; ManualChamberDark_01; PME MiniDOT Logger with temperature sensor.
# Dissolved_Oxygen_1; milligrams_per_liter; ManualChamberDark_01; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_2; milligrams_per_liter; ManualChamberDark_01; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_3; milligrams_per_liter; ManualChamberDark_01; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_Saturation_1; percent_saturation; ManualChamberDark_01; Calculated using Garcia & Gordon (1992) equation with miniDOT dissolved oxygen and barotroll barometric pressure.
# Dissolved_Oxygen_Saturation_2; percent_saturation; ManualChamberDark_01; Calculated using Garcia & Gordon (1992) equation with miniDOT dissolved oxygen and barotroll barometric pressure.
# Dissolved_Oxygen_Saturation_3; percent_saturation; ManualChamberDark_01; Calculated using Garcia & Gordon (1992) equation with miniDOT dissolved oxygen and barotroll barometric pressure.
DateTime,Site_ID,Battery_1,Battery_2,Battery_3,Temperature_1,Temperature_2,Temperature_3,Dissolved_Oxygen_1,Dissolved_Oxygen_2,Dissolved_Oxygen_3,Dissolved_Oxygen_Saturation_1,Dissolved_Oxygen_Saturation_2,Dissolved_Oxygen_Saturation_3
 2021-09-01 11:42:00,S24R,3.5,3.5,3.49,13.518,13.551,13.495,9.751,9.687,9.928,101.634,101.041,103.426
 2021-09-01 11:43:00,S24R,3.5,3.5,3.49,13.5,13.56,13.512,9.754,9.681,9.931,101.625,100.999,103.496
 2021-09-01 11:44:00,S24R,3.5,3.5,3.49,13.518,13.56,13.521,9.751,9.681,9.917,101.645,101.01,103.382
 2021-09-01 11:45:00,S24R,3.5,3.5,3.49,13.526,13.56,13.521,9.743,9.673,9.927,101.574,100.92,103.48
 2021-09-01 11:46:00,S24R,3.5,3.5,3.49,13.526,13.56,13.538,9.746,9.68,9.914,101.574,100.963,103.353
 2021-09-01 11:47:00,S24R,3.5,3.5,3.49,13.553,13.56,13.556,9.738,9.681,9.91,101.552,100.973,103.352
 2021-09-01 11:48:00,S24R,3.5,3.5,3.49,13.553,13.569,13.538,9.727,9.686,9.931,101.468,101.076,103.561
 2021-09-01 11:49:00,S24R,3.5,3.5,3.49,13.553,13.586,13.547,9.75,9.671,9.922,101.702,100.951,103.482
 2021-09-01 11:50:00,S24R,3.5,3.5,3.49,13.553,13.586,13.573,9.745,9.679,9.92,101.661,101.047,103.533
 2021-09-01 11:51:00,S24R,3.5,3.5,3.49,13.561,13.604,13.582,9.743,9.679,9.919,101.647,101.075,103.531
 2021-09-01 11:52:00,S24R,3.5,3.5,3.49,13.57,13.612,13.591,9.757,9.669,9.917,101.839,101.014,103.557
 2021-09-01 11:53:00,S24R,3.5,3.5,3.49,13.605,13.604,13.573,9.736,9.671,9.926,101.686,101.005,103.597
 2021-09-01 11:54:00,S24R,3.5,3.5,3.49,13.57,13.63,13.591,9.749,9.667,9.912,101.754,101.033,103.503
 2021-09-01 11:55:00,S24R,3.5,3.5,3.49,13.587,13.612,13.599,9.735,9.671,9.911,101.622,101.01,103.487
 2021-09-01 11:56:00,S24R,3.5,3.5,3.49,13.605,13.612,13.608,9.737,9.673,9.912,101.721,101.068,103.556
 2021-09-01 11:57:00,S24R,3.5,3.5,3.49,13.596,13.612,13.617,9.747,9.678,9.908,101.769,101.084,103.498
 2021-09-01 11:58:00,S24R,3.5,3.5,3.49,13.622,13.63,13.591,9.735,9.67,9.914,101.756,101.094,103.555
 2021-09-01 11:59:00,S24R,3.5,3.5,3.49,13.631,13.639,13.617,9.723,9.67,9.926,101.602,101.066,103.691
 2021-09-01 12:00:00,S24R,3.5,3.5,3.49,13.614,13.647,13.634,9.74,9.67,9.92,101.71,101.053,103.636
 2021-09-01 12:01:00,S24R,3.5,3.5,3.49,13.631,13.656,13.643,9.744,9.67,9.916,101.876,101.158,103.702
 2021-09-01 12:02:00,S24R,3.5,3.5,3.49,13.675,13.665,13.678,9.739,9.67,9.912,101.887,101.142,103.703
 2021-09-01 12:03:00,S24R,3.5,3.5,3.49,13.666,13.682,13.669,9.736,9.673,9.922,101.846,101.223,103.798
 2021-09-01 12:04:00,S24R,3.5,3.5,3.49,13.666,13.691,13.695,9.764,9.677,9.925,102.101,101.247,103.851
 2021-09-01 12:05:00,S24R,3.5,3.5,3.49,13.683,13.699,13.721,9.742,9.675,9.909,101.959,101.294,103.794
 2021-09-01 12:06:00,S24R,3.5,3.5,3.49,13.718,13.717,13.704,9.743,9.675,9.914,102.036,101.321,103.794
 2021-09-01 12:07:00,S24R,3.5,3.5,3.49,13.736,13.743,13.748,9.735,9.662,9.907,102.011,101.261,103.841
 2021-09-01 12:08:00,S24R,3.5,3.5,3.49,13.736,13.752,13.721,9.737,9.671,9.922,102.001,101.346,103.904
 2021-09-01 12:09:00,S24R,3.5,3.5,3.49,13.753,13.743,13.748,9.74,9.666,9.912,102.102,101.303,103.893
 2021-09-01 12:10:00,S24R,3.5,3.5,3.49,13.744,13.752,13.748,9.729,9.674,9.921,101.965,101.406,103.986
 2021-09-01 12:11:00,S24R,3.5,3.5,3.49,13.77,13.76,13.756,9.724,9.669,9.911,101.939,101.34,103.867
 2021-09-01 12:12:00,S24R,3.49,3.5,3.49,13.753,13.769,13.782,9.747,9.666,9.909,102.141,101.328,103.905
 2021-09-01 12:13:00,S24R,3.49,3.5,3.49,13.77,13.795,13.782,9.741,9.664,9.907,102.13,101.378,103.898
 2021-09-01 12:14:00,S24R,3.5,3.5,3.49,13.779,13.812,13.774,9.749,9.663,9.91,102.202,101.375,103.878
 2021-09-01 12:15:00,S24R,3.49,3.5,3.49,13.805,13.804,13.791,9.724,9.666,9.907,102.073,101.462,103.962
 2021-09-01 12:16:00,S24R,3.49,3.5,3.49,13.788,13.786,13.809,9.735,9.673,9.904,102.15,101.495,103.972
 2021-09-01 12:17:00,S24R,3.49,3.5,3.49,13.805,13.804,13.826,9.732,9.665,9.898,102.114,101.409,103.904
 2021-09-01 12:18:00,S24R,3.49,3.5,3.49,13.823,13.812,13.8,9.724,9.669,9.918,102.102,101.499,104.086
 2021-09-01 12:19:00,S24R,3.49,3.5,3.49,13.814,13.812,13.826,9.723,9.663,9.911,102.065,101.43,104.066
 2021-09-01 12:20:00,S24R,3.49,3.5,3.49,13.814,13.847,13.835,9.741,9.649,9.899,102.254,101.362,103.961
 2021-09-01 12:21:00,S24R,3.49,3.5,3.49,13.831,13.83,13.843,9.736,9.66,9.899,102.246,101.445,103.985
 2021-09-01 12:22:00,S24R,3.49,3.5,3.49,13.823,13.856,13.843,9.74,9.648,9.911,102.275,101.382,104.116
 2021-09-01 12:23:00,S24R,3.49,3.5,3.49,13.831,13.83,13.843,9.73,9.669,9.917,102.176,101.533,104.167
 2021-09-01 12:24:00,S24R,3.49,3.5,3.49,13.831,13.847,13.87,9.728,9.659,9.893,102.178,101.489,104
 2021-09-01 12:25:00,S24R,3.49,3.5,3.49,13.857,13.865,13.861,9.729,9.653,9.905,102.229,101.448,104.087
 2021-09-01 12:26:00,S24R,3.49,3.5,3.49,13.884,13.847,13.861,9.704,9.663,9.902,102.014,101.5,104.043
 2021-09-01 12:27:00,S24R,3.49,3.5,3.49,13.866,13.873,13.861,9.711,9.644,9.901,102.046,101.358,104.031
 2021-09-01 12:28:00,S24R,3.49,3.5,3.49,13.866,13.899,13.878,9.72,9.647,9.899,102.183,101.489,104.092
 2021-09-01 12:29:00,S24R,3.49,3.5,3.49,13.849,13.865,13.878,9.728,9.662,9.903,102.234,101.577,104.14
 2021-09-01 12:30:00,S24R,3.49,3.5,3.49,13.884,13.873,13.887,9.722,9.659,9.903,102.227,101.54,104.137
 2021-09-01 12:31:00,S24R,3.49,3.5,3.49,13.875,13.891,13.896,9.716,9.647,9.902,102.125,101.436,104.129
 2021-09-01 12:32:00,S24R,3.49,3.5,3.49,13.892,13.882,13.913,9.73,9.66,9.908,102.31,101.551,104.23
 2021-09-01 12:33:00,S24R,3.49,3.5,3.49,13.901,13.917,13.939,9.736,9.668,9.912,102.399,101.72,104.338
 2021-09-01 12:34:00,S24R,3.49,3.5,3.49,13.936,13.943,13.965,9.746,9.657,9.907,102.589,101.667,104.35
 2021-09-01 12:35:00,S24R,3.49,3.5,3.49,13.944,13.951,13.983,9.74,9.671,9.908,102.586,101.875,104.446
 2021-09-01 12:36:00,S24R,3.49,3.5,3.49,13.988,13.986,14.017,9.729,9.669,9.91,102.552,101.915,104.526
 2021-09-01 12:37:00,S24R,3.49,3.5,3.49,14.005,13.986,14.026,9.741,9.671,9.91,102.692,101.912,104.522
 2021-09-01 12:38:00,S24R,3.49,3.5,3.49,14.031,14.012,14.035,9.725,9.666,9.917,102.581,101.916,104.616
 2021-09-01 12:39:00,S24R,3.49,3.5,3.49,14.049,14.038,14.061,9.731,9.661,9.901,102.691,101.928,104.513
 2021-09-01 12:40:00,S24R,3.49,3.5,3.49,14.049,14.055,14.096,9.732,9.659,9.894,102.671,101.914,104.488
 2021-09-01 12:41:00,S24R,3.49,3.5,3.49,14.066,14.09,14.087,9.73,9.656,9.905,102.719,101.992,104.615
 2021-09-01 12:42:00,S24R,3.49,3.5,3.49,14.075,14.073,14.122,9.731,9.661,9.884,102.749,102.005,104.473
 2021-09-01 12:43:00,S24R,3.49,3.5,3.49,14.101,14.09,14.113,9.714,9.654,9.893,102.61,101.951,104.528
 2021-09-01 12:44:00,S24R,3.49,3.5,3.49,14.127,14.107,14.13,9.715,9.661,9.894,102.722,102.106,104.622
 2021-09-01 12:45:00,S24R,3.49,3.5,3.49,14.135,14.125,14.13,9.722,9.664,9.91,102.776,102.14,104.752
 2021-09-01 12:46:00,S24R,3.49,3.5,3.48,14.135,14.142,14.165,9.722,9.661,9.903,102.782,102.153,104.765
 2021-09-01 12:47:00,S24R,3.49,3.5,3.48,14.161,14.159,14.2,9.736,9.665,9.906,102.995,102.24,104.884
 2021-09-01 12:48:00,S24R,3.49,3.5,3.48,14.196,14.211,14.234,9.725,9.659,9.902,102.989,102.324,104.951
 2021-09-01 12:49:00,S24R,3.49,3.5,3.48,14.239,14.246,14.269,9.736,9.654,9.904,103.178,102.325,105.028
 2021-09-01 12:50:00,S24R,3.49,3.5,3.48,14.257,14.255,14.278,9.728,9.669,9.904,103.139,102.509,105.054
 2021-09-01 12:51:00,S24R,3.49,3.5,3.48,14.283,14.298,14.312,9.728,9.651,9.898,103.174,102.391,105.044
 2021-09-01 12:52:00,S24R,3.49,3.49,3.48,14.326,14.307,14.312,9.735,9.654,9.899,103.339,102.436,105.047
 2021-09-01 12:53:00,S24R,3.49,3.49,3.48,14.343,14.332,14.356,9.713,9.647,9.902,103.173,102.448,105.211
 2021-09-01 12:54:00,S24R,3.49,3.49,3.48,14.361,14.341,14.373,9.729,9.656,9.885,103.397,102.576,105.082
 2021-09-01 12:55:00,S24R,3.49,3.49,3.48,14.378,14.393,14.39,9.714,9.648,9.895,103.237,102.569,105.188
 2021-09-01 12:56:00,S24R,3.49,3.49,3.48,14.404,14.402,14.425,9.717,9.659,9.896,103.371,102.75,105.324
 2021-09-01 12:57:00,S24R,3.49,3.49,3.48,14.456,14.427,14.468,9.722,9.657,9.897,103.531,102.774,105.422
 2021-09-01 12:58:00,S24R,3.49,3.49,3.48,14.464,14.462,14.52,9.746,9.657,9.883,103.817,102.865,105.406
 2021-09-01 12:59:00,S24R,3.49,3.49,3.48,14.49,14.514,14.52,9.732,9.645,9.892,103.702,102.829,105.476
 2021-09-01 13:00:00,S24R,3.49,3.49,3.48,14.542,14.514,14.546,9.71,9.648,9.888,103.585,102.861,105.494
 2021-09-01 13:01:00,S24R,3.49,3.49,3.48,14.525,14.522,14.563,9.733,9.65,9.882,103.798,102.907,105.475
 2021-09-01 13:02:00,S24R,3.49,3.49,3.48,14.559,14.591,14.589,9.713,9.632,9.882,103.673,102.881,105.546
 2021-09-01 13:03:00,S24R,3.49,3.49,3.48,14.594,14.583,14.598,9.708,9.636,9.884,103.684,102.891,105.573
 2021-09-01 13:04:00,S24R,3.49,3.49,3.48,14.585,14.591,14.624,9.719,9.642,9.875,103.779,102.97,105.535
 2021-09-01 13:05:00,S24R,3.49,3.5,3.48,14.611,14.617,14.624,9.705,9.635,9.886,103.682,102.948,105.646
 2021-09-01 13:06:00,S24R,3.49,3.5,3.48,14.646,14.626,14.65,9.706,9.637,9.881,103.802,103.019,105.683
 2021-09-01 13:07:00,S24R,3.49,3.5,3.49,14.654,14.66,14.667,9.697,9.629,9.869,103.705,102.991,105.575
 2021-09-01 13:08:00,S24R,3.49,3.5,3.49,14.672,14.66,14.693,9.698,9.624,9.864,103.763,102.944,105.587
 2021-09-01 13:09:00,S24R,3.49,3.5,3.49,14.672,14.669,14.702,9.703,9.631,9.88,103.822,103.045,105.786
 2021-09-01 13:10:00,S24R,3.49,3.5,3.49,14.689,14.678,14.719,9.702,9.637,9.874,103.825,103.105,105.735
 2021-09-01 13:11:00,S24R,3.49,3.5,3.49,14.723,14.738,14.745,9.703,9.631,9.883,103.942,103.204,105.921
 2021-09-01 13:12:00,S24R,3.49,3.5,3.49,14.741,14.746,14.788,9.711,9.639,9.865,104.062,103.302,105.82
