# HeaderRows_16
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; ManualChamberDark_01; PME MiniDOT Logger real time clock.
# Battery_1; volts; ManualChamberDark_01; PME MiniDOT Logger internal batteries.
# Battery_2; volts; ManualChamberDark_01; PME MiniDOT Logger internal batteries.
# Battery_3; volts; ManualChamberDark_01; PME MiniDOT Logger internal batteries.
# Temperature_1; degree_celsius; ManualChamberDark_01; PME MiniDOT Logger with temperature sensor.
# Temperature_2; degree_celsius; ManualChamberDark_01; PME MiniDOT Logger with temperature sensor.
# Temperature_3; degree_celsius; ManualChamberDark_01; PME MiniDOT Logger with temperature sensor.
# Dissolved_Oxygen_1; milligrams_per_liter; ManualChamberDark_01; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_2; milligrams_per_liter; ManualChamberDark_01; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_3; milligrams_per_liter; ManualChamberDark_01; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_Saturation_1; percent_saturation; ManualChamberDark_01; Calculated using Garcia & Gordon (1992) equation with miniDOT dissolved oxygen and barotroll barometric pressure.
# Dissolved_Oxygen_Saturation_2; percent_saturation; ManualChamberDark_01; Calculated using Garcia & Gordon (1992) equation with miniDOT dissolved oxygen and barotroll barometric pressure.
# Dissolved_Oxygen_Saturation_3; percent_saturation; ManualChamberDark_01; Calculated using Garcia & Gordon (1992) equation with miniDOT dissolved oxygen and barotroll barometric pressure.
DateTime,Site_ID,Battery_1,Battery_2,Battery_3,Temperature_1,Temperature_2,Temperature_3,Dissolved_Oxygen_1,Dissolved_Oxygen_2,Dissolved_Oxygen_3,Dissolved_Oxygen_Saturation_1,Dissolved_Oxygen_Saturation_2,Dissolved_Oxygen_Saturation_3
 2021-09-01 11:43:00,S28RE,3.44,3.5,3.51,16.194,16.239,16.099,9.247,9.311,9.382,100.012,100.801,101.268
 2021-09-01 11:44:00,S28RE,3.44,3.5,3.51,16.194,16.239,16.108,9.243,9.309,9.369,99.957,100.767,101.135
 2021-09-01 11:45:00,S28RE,3.44,3.5,3.51,16.22,16.247,16.099,9.231,9.3,9.379,99.884,100.688,101.225
 2021-09-01 11:46:00,S28RE,3.44,3.5,3.51,16.228,16.264,16.134,9.228,9.301,9.363,99.847,100.714,101.106
 2021-09-01 11:47:00,S28RE,3.44,3.5,3.51,16.228,16.29,16.142,9.227,9.293,9.365,99.86,100.706,101.168
 2021-09-01 11:48:00,S28RE,3.44,3.5,3.51,16.228,16.29,16.142,9.229,9.296,9.367,99.87,100.728,101.179
 2021-09-01 11:49:00,S28RE,3.44,3.5,3.51,16.22,16.281,16.159,9.245,9.288,9.368,100.04,100.635,101.239
 2021-09-01 11:50:00,S28RE,3.44,3.5,3.51,16.22,16.273,16.159,9.245,9.3,9.369,100.049,100.758,101.26
 2021-09-01 11:51:00,S28RE,3.44,3.5,3.51,16.228,16.307,16.176,9.235,9.28,9.364,99.958,100.614,101.243
 2021-09-01 11:52:00,S28RE,3.44,3.5,3.51,16.228,16.307,16.176,9.233,9.29,9.367,99.919,100.704,101.257
 2021-09-01 11:53:00,S28RE,3.44,3.5,3.5,16.245,16.29,16.185,9.232,9.298,9.363,99.936,100.746,101.225
 2021-09-01 11:54:00,S28RE,3.44,3.5,3.5,16.245,16.298,16.202,9.23,9.297,9.354,99.922,100.761,101.172
 2021-09-01 11:55:00,S28RE,3.44,3.5,3.5,16.245,16.298,16.202,9.242,9.287,9.362,100.029,100.629,101.235
 2021-09-01 11:56:00,S28RE,3.44,3.5,3.5,16.254,16.315,16.185,9.229,9.282,9.36,99.934,100.638,101.204
 2021-09-01 11:57:00,S28RE,3.44,3.5,3.5,16.254,16.315,16.21,9.227,9.28,9.362,99.925,100.628,101.292
 2021-09-01 11:58:00,S28RE,3.44,3.5,3.5,16.263,16.324,16.219,9.235,9.277,9.359,100.016,100.601,101.265
 2021-09-01 11:59:00,S28RE,3.44,3.5,3.5,16.263,16.332,16.227,9.229,9.281,9.351,99.934,100.644,101.178
 2021-09-01 12:00:00,S28RE,3.44,3.5,3.5,16.288,16.307,16.244,9.225,9.293,9.349,99.948,100.726,101.197
 2021-09-01 12:01:00,S28RE,3.44,3.5,3.5,16.297,16.324,16.244,9.237,9.282,9.361,100.101,100.646,101.331
 2021-09-01 12:02:00,S28RE,3.44,3.5,3.5,16.297,16.332,16.244,9.225,9.279,9.36,100.008,100.668,101.358
 2021-09-01 12:03:00,S28RE,3.44,3.5,3.5,16.288,16.349,16.253,9.234,9.285,9.364,100.055,100.737,101.388
 2021-09-01 12:04:00,S28RE,3.44,3.5,3.5,16.297,16.349,16.27,9.224,9.29,9.364,99.978,100.804,101.437
 2021-09-01 12:05:00,S28RE,3.44,3.5,3.5,16.314,16.332,16.278,9.237,9.289,9.358,100.154,100.757,101.389
 2021-09-01 12:06:00,S28RE,3.44,3.5,3.5,16.322,16.358,16.295,9.235,9.291,9.354,100.154,100.838,101.386
 2021-09-01 12:07:00,S28RE,3.44,3.5,3.5,16.331,16.366,16.304,9.228,9.272,9.351,100.115,100.667,101.392
 2021-09-01 12:08:00,S28RE,3.44,3.5,3.5,16.339,16.366,16.321,9.226,9.274,9.346,100.091,100.67,101.355
 2021-09-01 12:09:00,S28RE,3.44,3.5,3.5,16.314,16.366,16.295,9.235,9.281,9.36,100.12,100.73,101.435
 2021-09-01 12:10:00,S28RE,3.44,3.5,3.5,16.356,16.358,16.347,9.221,9.29,9.335,100.06,100.813,101.278
 2021-09-01 12:11:00,S28RE,3.44,3.5,3.5,16.348,16.375,16.33,9.236,9.282,9.349,100.236,100.792,101.423
 2021-09-01 12:12:00,S28RE,3.44,3.5,3.5,16.356,16.375,16.338,9.226,9.28,9.341,100.122,100.748,101.331
 2021-09-01 12:13:00,S28RE,3.44,3.5,3.5,16.373,16.409,16.338,9.228,9.267,9.345,100.179,100.679,101.374
 2021-09-01 12:14:00,S28RE,3.44,3.5,3.5,16.365,16.383,16.347,9.234,9.288,9.353,100.212,100.836,101.464
 2021-09-01 12:15:00,S28RE,3.44,3.5,3.5,16.382,16.409,16.364,9.234,9.286,9.351,100.275,100.898,101.507
 2021-09-01 12:16:00,S28RE,3.44,3.5,3.5,16.39,16.409,16.372,9.236,9.278,9.348,100.345,100.842,101.523
 2021-09-01 12:17:00,S28RE,3.44,3.5,3.5,16.399,16.409,16.381,9.225,9.286,9.357,100.205,100.889,101.601
 2021-09-01 12:18:00,S28RE,3.44,3.5,3.5,16.416,16.417,16.415,9.215,9.291,9.337,100.15,100.978,101.473
 2021-09-01 12:19:00,S28RE,3.44,3.5,3.5,16.407,16.443,16.398,9.221,9.266,9.348,100.161,100.727,101.521
 2021-09-01 12:20:00,S28RE,3.44,3.5,3.5,16.424,16.451,16.389,9.225,9.282,9.354,100.259,100.936,101.586
 2021-09-01 12:21:00,S28RE,3.44,3.5,3.5,16.424,16.434,16.406,9.23,9.284,9.357,100.337,100.945,101.678
 2021-09-01 12:22:00,S28RE,3.44,3.5,3.5,16.45,16.443,16.432,9.221,9.289,9.342,100.286,101.01,101.563
 2021-09-01 12:23:00,S28RE,3.44,3.5,3.5,16.458,16.46,16.432,9.218,9.287,9.343,100.278,101.033,101.582
 2021-09-01 12:24:00,S28RE,3.44,3.5,3.5,16.467,16.46,16.449,9.224,9.292,9.354,100.372,101.097,101.747
 2021-09-01 12:25:00,S28RE,3.44,3.5,3.5,16.475,16.477,16.449,9.219,9.287,9.353,100.34,101.084,101.743
 2021-09-01 12:26:00,S28RE,3.44,3.5,3.5,16.492,16.485,16.457,9.213,9.281,9.349,100.289,101.014,101.694
