# HeaderRows_16
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; ManualChamberDark_01; PME MiniDOT Logger real time clock.
# Battery_1; volts; ManualChamberDark_01; PME MiniDOT Logger internal batteries.
# Battery_2; volts; ManualChamberDark_01; PME MiniDOT Logger internal batteries.
# Battery_3; volts; ManualChamberDark_01; PME MiniDOT Logger internal batteries.
# Temperature_1; degree_celsius; ManualChamberDark_01; PME MiniDOT Logger with temperature sensor.
# Temperature_2; degree_celsius; ManualChamberDark_01; PME MiniDOT Logger with temperature sensor.
# Temperature_3; degree_celsius; ManualChamberDark_01; PME MiniDOT Logger with temperature sensor.
# Dissolved_Oxygen_1; milligrams_per_liter; ManualChamberDark_01; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_2; milligrams_per_liter; ManualChamberDark_01; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_3; milligrams_per_liter; ManualChamberDark_01; PME MiniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_Saturation_1; percent_saturation; ManualChamberDark_01; Calculated using Garcia & Gordon (1992) equation with miniDOT dissolved oxygen and barotroll barometric pressure.
# Dissolved_Oxygen_Saturation_2; percent_saturation; ManualChamberDark_01; Calculated using Garcia & Gordon (1992) equation with miniDOT dissolved oxygen and barotroll barometric pressure.
# Dissolved_Oxygen_Saturation_3; percent_saturation; ManualChamberDark_01; Calculated using Garcia & Gordon (1992) equation with miniDOT dissolved oxygen and barotroll barometric pressure.
DateTime,Site_ID,Battery_1,Battery_2,Battery_3,Temperature_1,Temperature_2,Temperature_3,Dissolved_Oxygen_1,Dissolved_Oxygen_2,Dissolved_Oxygen_3,Dissolved_Oxygen_Saturation_1,Dissolved_Oxygen_Saturation_2,Dissolved_Oxygen_Saturation_3
 2021-09-03 08:50:00,S72,3.5,3.52,3.52,13.913,13.936,13.948,9.249,9.325,9.369,94.073,94.894,95.367
 2021-09-03 08:51:00,S72,3.5,3.52,3.52,13.913,13.944,13.94,9.249,9.327,9.382,94.094,94.952,95.503
 2021-09-03 08:52:00,S72,3.5,3.52,3.52,13.948,13.927,13.931,9.235,9.326,9.39,93.998,94.88,95.54
 2021-09-03 08:53:00,S72,3.5,3.52,3.52,13.956,13.927,13.957,9.234,9.332,9.376,94.011,94.948,95.459
 2021-09-03 08:54:00,S72,3.5,3.52,3.51,13.939,13.944,13.948,9.239,9.325,9.381,94.038,94.924,95.503
 2021-09-03 08:55:00,S72,3.5,3.52,3.52,13.948,13.936,13.94,9.239,9.328,9.383,94.075,94.956,95.524
 2021-09-03 08:56:00,S72,3.5,3.52,3.52,13.93,13.927,13.948,9.25,9.334,9.378,94.159,95.008,95.5
 2021-09-03 08:57:00,S72,3.5,3.52,3.51,13.956,13.944,13.957,9.242,9.317,9.386,94.126,94.865,95.595
 2021-09-03 08:58:00,S72,3.5,3.52,3.51,13.956,13.944,13.948,9.236,9.318,9.388,94.071,94.881,95.602
 2021-09-03 08:59:00,S72,3.5,3.52,3.51,13.965,13.953,13.966,9.229,9.33,9.386,93.999,95.003,95.601
 2021-09-03 09:00:00,S72,3.5,3.52,3.51,13.956,13.979,13.966,9.241,9.32,9.381,94.111,94.964,95.558
 2021-09-03 09:01:00,S72,3.5,3.52,3.51,13.983,13.962,13.983,9.235,9.316,9.371,94.122,94.903,95.508
 2021-09-03 09:02:00,S72,3.5,3.52,3.51,13.965,13.97,13.974,9.24,9.321,9.381,94.118,94.954,95.573
 2021-09-03 09:03:00,S72,3.5,3.52,3.51,13.991,13.97,13.983,9.231,9.326,9.377,94.095,95.019,95.566
 2021-09-03 09:04:00,S72,3.5,3.52,3.51,13.965,13.962,13.974,9.229,9.317,9.38,94,94.89,95.557
 2021-09-03 09:05:00,S72,3.5,3.52,3.51,13.974,13.962,13.992,9.231,9.331,9.374,94.027,95.02,95.521
 2021-09-03 09:06:00,S72,3.5,3.52,3.51,13.965,13.944,14.009,9.232,9.332,9.372,94.047,95.021,95.565
 2021-09-03 09:07:00,S72,3.5,3.51,3.51,13.974,13.962,13.974,9.242,9.33,9.38,94.152,95.023,95.557
 2021-09-03 09:08:00,S72,3.5,3.51,3.51,14,13.996,13.983,9.225,9.323,9.382,94.043,95.033,95.607
 2021-09-03 09:09:00,S72,3.5,3.51,3.51,13.991,13.979,14.009,9.237,9.326,9.365,94.16,95.042,95.502
 2021-09-03 09:10:00,S72,3.5,3.51,3.51,13.983,13.988,14,9.227,9.316,9.373,94.024,94.941,95.547
 2021-09-03 09:11:00,S72,3.5,3.51,3.51,13.991,13.979,13.992,9.229,9.321,9.379,94.055,94.967,95.585
 2021-09-03 09:12:00,S72,3.5,3.51,3.51,13.983,13.979,13.992,9.244,9.32,9.375,94.171,94.937,95.524
 2021-09-03 09:13:00,S72,3.5,3.51,3.51,13.983,14.005,14.009,9.245,9.311,9.365,94.197,94.916,95.475
 2021-09-03 09:14:00,S72,3.5,3.51,3.51,14.009,13.988,14,9.237,9.323,9.379,94.18,95.012,95.608
 2021-09-03 09:15:00,S72,3.5,3.51,3.51,14.009,13.996,13.992,9.237,9.314,9.378,94.18,94.938,95.582
 2021-09-03 09:16:00,S72,3.5,3.51,3.51,14.017,13.996,14.009,9.233,9.31,9.376,94.175,94.916,95.617
 2021-09-03 09:17:00,S72,3.5,3.51,3.51,14.009,13.996,14.026,9.223,9.322,9.377,94.039,95.021,95.644
 2021-09-03 09:18:00,S72,3.5,3.51,3.51,14,13.996,14.009,9.238,9.324,9.378,94.176,95.044,95.622
 2021-09-03 09:19:00,S72,3.5,3.51,3.51,14.035,13.979,14.026,9.218,9.328,9.372,94.064,95.069,95.616
 2021-09-03 09:20:00,S72,3.5,3.51,3.51,14.017,13.988,14.018,9.233,9.326,9.367,94.145,95.032,95.513
 2021-09-03 09:21:00,S72,3.5,3.51,3.51,14.017,14.014,14.018,9.233,9.315,9.369,94.178,95.008,95.567
 2021-09-03 09:22:00,S72,3.5,3.51,3.51,14.043,14.022,14.035,9.231,9.314,9.367,94.168,94.971,95.539
 2021-09-03 09:23:00,S72,3.5,3.51,3.51,14.026,14.005,14.035,9.231,9.318,9.378,94.159,95.002,95.677
 2021-09-03 09:24:00,S72,3.5,3.51,3.51,14.043,14.031,14.026,9.23,9.32,9.371,94.197,95.09,95.6
 2021-09-03 09:25:00,S72,3.5,3.51,3.51,14.035,14.031,14.035,9.236,9.311,9.368,94.238,94.995,95.585
 2021-09-03 09:26:00,S72,3.5,3.51,3.51,14.069,14.022,14.052,9.214,9.318,9.373,94.073,95.037,95.661
 2021-09-03 09:27:00,S72,3.5,3.51,3.51,14.043,14.048,14.052,9.232,9.312,9.364,94.193,95.02,95.559
 2021-09-03 09:28:00,S72,3.5,3.51,3.51,14.052,14.04,14.07,9.222,9.311,9.358,94.11,94.993,95.535
 2021-09-03 09:29:00,S72,3.5,3.51,3.51,14.043,14.048,14.061,9.228,9.305,9.367,94.155,94.951,95.611
 2021-09-03 09:30:00,S72,3.5,3.51,3.51,14.061,14.057,14.061,9.23,9.311,9.365,94.212,95.03,95.59
 2021-09-03 09:31:00,S72,3.5,3.51,3.51,14.061,14.048,14.061,9.228,9.298,9.364,94.204,94.892,95.593
 2021-09-03 09:32:00,S72,3.5,3.51,3.51,14.061,14.057,14.07,9.22,9.308,9.362,94.136,95.026,95.604
 2021-09-03 09:33:00,S72,3.49,3.51,3.51,14.087,14.057,14.07,9.223,9.318,9.361,94.224,95.132,95.598
 2021-09-03 09:34:00,S72,3.49,3.51,3.51,14.069,14.066,14.061,9.22,9.302,9.369,94.138,94.969,95.642
 2021-09-03 09:35:00,S72,3.49,3.51,3.51,14.069,14.057,14.07,9.223,9.315,9.367,94.136,95.05,95.608
 2021-09-03 09:36:00,S72,3.49,3.51,3.51,14.096,14.074,14.07,9.216,9.306,9.37,94.158,95.031,95.676
 2021-09-03 09:37:00,S72,3.49,3.51,3.51,14.113,14.066,14.096,9.215,9.303,9.352,94.184,94.986,95.549
 2021-09-03 09:38:00,S72,3.49,3.51,3.51,14.096,14.092,14.087,9.219,9.305,9.361,94.167,95.037,95.599
 2021-09-03 09:39:00,S72,3.49,3.51,3.51,14.096,14.074,14.096,9.226,9.315,9.357,94.25,95.114,95.589
 2021-09-03 09:40:00,S72,3.49,3.51,3.51,14.096,14.083,14.096,9.221,9.308,9.359,94.212,95.074,95.622
 2021-09-03 09:41:00,S72,3.49,3.51,3.51,14.096,14.092,14.096,9.225,9.306,9.363,94.236,95.055,95.645
 2021-09-03 09:42:00,S72,3.49,3.51,3.51,14.104,14.1,14.079,9.225,9.308,9.364,94.283,95.123,95.651
 2021-09-03 09:43:00,S72,3.49,3.51,3.51,14.13,14.083,14.105,9.212,9.307,9.348,94.172,95.045,95.51
 2021-09-03 09:44:00,S72,3.49,3.51,3.51,14.113,14.109,14.113,9.22,9.311,9.362,94.217,95.139,95.668
 2021-09-03 09:45:00,S72,3.49,3.51,3.51,14.13,14.118,14.122,9.223,9.3,9.354,94.308,95.07,95.631
 2021-09-03 09:46:00,S72,3.49,3.51,3.51,14.13,14.109,14.105,9.218,9.31,9.364,94.251,95.148,95.691
 2021-09-03 09:47:00,S72,3.49,3.51,3.51,14.13,14.126,14.113,9.223,9.297,9.361,94.284,95.032,95.659
 2021-09-03 09:48:00,S72,3.49,3.51,3.51,14.156,14.109,14.122,9.215,9.303,9.358,94.266,95.068,95.658
 2021-09-03 09:49:00,S72,3.49,3.51,3.51,14.13,14.126,14.131,9.217,9.297,9.35,94.256,95.066,95.618
 2021-09-03 09:50:00,S72,3.49,3.51,3.51,14.139,14.126,14.122,9.215,9.303,9.361,94.233,95.105,95.69
 2021-09-03 09:51:00,S72,3.49,3.51,3.51,14.13,14.118,14.122,9.22,9.3,9.353,94.278,95.071,95.621
 2021-09-03 09:52:00,S72,3.49,3.51,3.51,14.139,14.135,14.122,9.217,9.297,9.357,94.261,95.07,95.657
 2021-09-03 09:53:00,S72,3.49,3.51,3.51,14.156,14.144,14.139,9.205,9.294,9.358,94.146,95.031,95.675
 2021-09-03 09:54:00,S72,3.49,3.51,3.51,14.156,14.144,14.148,9.216,9.3,9.351,94.275,95.11,95.64
 2021-09-03 09:55:00,S72,3.49,3.51,3.51,14.174,14.152,14.157,9.209,9.299,9.353,94.27,95.146,95.709
 2021-09-03 09:56:00,S72,3.49,3.51,3.51,14.174,14.161,14.148,9.215,9.29,9.348,94.309,95.049,95.615
 2021-09-03 09:57:00,S72,3.49,3.51,3.51,14.174,14.178,14.157,9.213,9.284,9.35,94.285,95.02,95.652
 2021-09-03 09:58:00,S72,3.49,3.51,3.51,14.182,14.187,14.174,9.221,9.281,9.344,94.378,95.003,95.62
 2021-09-03 09:59:00,S72,3.49,3.51,3.51,14.182,14.152,14.174,9.211,9.294,9.352,94.279,95.066,95.705
 2021-09-03 10:00:00,S72,3.49,3.51,3.51,14.174,14.187,14.174,9.21,9.287,9.348,94.242,95.057,95.654
 2021-09-03 10:01:00,S72,3.49,3.51,3.51,14.182,14.161,14.2,9.211,9.298,9.341,94.302,95.149,95.671
